Name,Age,Height,Weight
Frank Jones,64,159.1,71.2
Grace Garcia,38,151.6,113.3
Henry Davis,56,181.7,89.3
Alice Williams,59,156.2,88.2
Eve Williams,76,168.2,76.6
Jack Johnson,18,161.7,107.2
Frank Williams,40,171.9,72.9
Alice Brown,21,196.0,80.6
Charlie Johnson,40,151.9,76.2
Henry Williams,68,176.2,73.6
Henry Williams,45,199.1,59.2
Alice Williams,64,169.1,90.5
Eve Jones,65,157.6,80.9
Grace Garcia,80,155.8,70.5
Alice Davis,78,163.0,90.0
Eve Miller,26,167.6,84.7
Alice Martinez,35,157.7,53.8
Jack Jones,23,174.3,69.2
Frank Miller,58,188.7,99.2
Jack Miller,71,172.4,74.4
Henry Martinez,19,169.8,73.6
Eve Smith,73,180.2,119.4
Grace Davis,37,168.7,68.7
Grace Garcia,79,194.8,57.8
Alice Johnson,29,176.5,98.6
Eve Martinez,45,161.2,107.1
Ivy Williams,35,188.2,112.4
Henry Martinez,80,183.4,108.6
Frank Williams,74,189.1,66.6
Alice Davis,44,195.5,62.7
Bob Smith,29,164.6,55.4
Bob Johnson,18,175.5,75.0
Jack Davis,58,170.3,93.2
Henry Martinez,72,189.4,75.8
Grace Johnson,48,155.9,93.5
Eve Garcia,51,160.8,59.4
Charlie Johnson,73,194.6,97.7
Alice Jones,65,184.3,74.2
Jack Brown,60,155.7,87.6
Frank Williams,67,194.0,109.4
Diana Brown,21,197.7,77.6
Ivy Brown,65,162.5,54.0
Jack Martinez,79,192.0,106.1
Henry Williams,31,195.7,60.5
Jack Rodriguez,23,162.7,82.0
Jack Davis,38,195.8,81.6
Grace Brown,38,180.6,93.3
Alice Rodriguez,38,170.7,90.9
Ivy Jones,73,165.5,65.9
Frank Davis,29,183.7,82.6
Henry Jones,72,196.6,113.5
Diana Martinez,67,166.5,85.0
Charlie Garcia,48,193.2,97.2
Alice Martinez,48,196.2,111.3
Jack Martinez,69,160.4,97.8
Charlie Brown,53,155.3,106.6
Jack Johnson,47,190.8,103.9
Henry Williams,42,162.8,67.5
Frank Williams,59,152.4,64.0
Grace Jones,62,168.4,94.2
Grace Miller,72,172.1,70.2
Jack Jones,49,179.4,107.6
Ivy Davis,49,196.7,100.6
Jack Garcia,34,190.5,109.7
Eve Davis,37,172.3,73.2
Diana Rodriguez,73,160.8,53.3
Jack Martinez,22,160.2,55.3
Frank Williams,54,182.2,68.6
Diana Rodriguez,19,176.4,68.5
Eve Smith,41,154.3,105.9
Frank Smith,51,193.7,51.2
Alice Smith,54,179.9,96.6
Alice Rodriguez,39,157.7,79.9
Frank Smith,20,154.1,90.5
Ivy Johnson,37,186.8,112.6
Ivy Johnson,44,185.0,69.3
Frank Brown,55,182.1,109.0
Jack Martinez,31,185.8,110.8
Grace Johnson,18,186.7,86.1
Charlie Jones,45,186.8,52.2
Henry Brown,71,182.7,50.8
Frank Williams,41,177.0,77.5
Bob Jones,77,166.1,76.4
Grace Garcia,41,189.5,119.6
Jack Johnson,31,162.9,69.8
Alice Johnson,60,192.5,76.1
Diana Garcia,43,184.6,83.5
Jack Smith,41,166.3,93.5
Grace Garcia,52,198.7,83.2
Grace Smith,70,183.2,63.1
Henry Williams,67,157.1,60.0
Grace Brown,37,199.2,50.1
Frank Davis,39,189.3,104.6
Eve Garcia,40,173.0,110.0
Charlie Miller,30,166.1,58.8
Charlie Jones,65,190.6,92.5
Bob Davis,33,165.8,52.6
Ivy Smith,36,185.8,93.2
Charlie Williams,58,170.9,52.5
Eve Jones,36,157.4,83.7
Average,48.95,175.84,82.763
